song,artist,reentry_count,momentum_score,retention_days,fandom_score
Filter,BTS,3,10.666666666666666,148.0,48.8
SPOT!,ZICO & JENNIE,2,10.5,101.0,34.25
Like Crazy (English Version),Jimin,3,46.333333333333336,59.5,32.95
Set Me Free Pt.2,Jimin,3,44.333333333333336,59.5,32.349999999999994
Vancouver,BIG Naughty,2,1.0,102.0,31.7
Seven (feat. Latto) (Explicit Ver.),Jung Kook,4,48.75,50.666666666666664,31.425
Closer Than This,Jimin,4,44.5,50.666666666666664,30.15
3D (feat. Jack Harlow),Jung Kook,4,44.5,50.666666666666664,30.15
With you,Jimin & HA SUNG WOON,4,9.75,76.33333333333333,27.424999999999997
Like Crazy,Jimin,5,40.4,43.5,27.169999999999998
Standing Next to You,Jung Kook,5,42.8,41.0,27.139999999999997
If We Ever Meet Again,Lim Young Woong,8,14.125,62.0,26.037499999999998
Love Me Again,V,4,28.5,50.666666666666664,25.349999999999998
Sticky,KISS OF LIFE,3,29.0,50.5,25.049999999999997
Polaroid,Lim Young Woong,4,27.5,50.666666666666664,25.049999999999997
Supernatural,NewJeans,2,46.0,33.0,24.5
Home,Lim Young Woong,3,21.333333333333332,56.0,24.4
How Sweet,NewJeans,2,41.0,33.0,23.0
Touch,KATSEYE,2,2.5,71.0,22.85
Supernova,aespa,3,35.666666666666664,36.0,22.699999999999996
Lovely Touch,Lim Young Woong,5,3.0,65.25,22.474999999999998
Magnetic,ILLIT,2,37.5,33.0,21.950000000000003
Do or Die,Lim Young Woong,7,21.428571428571427,41.5,21.678571428571427
Smart,LE SSERAFIM,3,31.333333333333332,36.5,21.549999999999997
Slow Dancing,V,6,16.333333333333332,46.4,21.22
Grain of Sand,Lim Young Woong,7,20.0,39.166666666666664,20.549999999999997
BIRDS OF A FEATHER,Billie Eilish,3,22.0,39.0,19.5
Never Let Go,Jung Kook,2,28.5,33.0,19.25
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,8,9.625,43.0,18.9875
Welcome to the Show,DAY6,6,6.166666666666667,48.0,18.65
踊り子,Vaundy,3,19.666666666666668,37.5,18.35
Armageddon,aespa,5,20.4,33.0,18.02
Warmth,Lim Young Woong,4,17.0,37.333333333333336,17.9
"Our Blues, Our Life",Lim Young Woong,31,5.0,13.333333333333334,17.9
Right Now,NewJeans,2,23.5,33.0,17.75
Interlude : Dive,Jimin,21,10.952380952380953,20.0,17.685714285714287
Espresso,Sabrina Carpenter,2,22.5,33.0,17.45
plot twist,TWS,4,21.25,31.333333333333332,17.375
Let's Say Goodbye,Parc Jae Jung,2,9.0,46.0,17.299999999999997
Cruel Summer,Taylor Swift,16,6.8125,29.2,17.20375
Super Shy,NewJeans,6,11.666666666666666,37.6,17.18
Attention,NewJeans,10,4.3,39.55555555555556,17.156666666666666
Bam Yang Gang,BIBI,3,27.333333333333332,25.5,17.049999999999997
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,3,4.666666666666667,47.5,16.85
London Boy,Lim Young Woong,10,13.5,27.666666666666668,16.35
A bientot,Lim Young Woong,24,4.291666666666667,17.565217391304348,16.157065217391306
Ditto,NewJeans,27,3.8518518518518516,13.923076923076923,16.132478632478634
Rainbow,Lim Young Woong,19,5.894736842105263,22.22222222222222,16.035087719298247
Fate,(G)I-DLE,4,22.0,26.0,16.0
we can't be friends (wait for your love),Ariana Grande,3,22.0,27.0,15.899999999999999
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,1,50.0,,15.4
Who,Jimin,1,50.0,,15.4
New Jeans,NewJeans,23,4.130434782608695,16.0,15.23913043478261
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,1,49.0,,15.1
