song,artist,momentum_score
Who,Jimin,50.0
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,50.0
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,49.0
Seven (feat. Latto) (Explicit Ver.),Jung Kook,48.75
Be Mine,Jimin,48.0
Smeraldo Garden Marching Band (feat. Loco),Jimin,47.0
Like Crazy (English Version),Jimin,46.333333333333336
Supernatural,NewJeans,46.0
Closer Than This,Jimin,44.5
3D (feat. Jack Harlow),Jung Kook,44.5
Set Me Free Pt.2,Jimin,44.333333333333336
Lost and Found,KingLee & Lil' Flip,43.0
Slow Dance (feat. Sofia Carson),Jimin,43.0
Standing Next to You,Jung Kook,42.8
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,41.0
Rebirth (Intro),Jimin,41.0
How Sweet,NewJeans,41.0
Like Crazy,Jimin,40.4
Magnetic,ILLIT,37.5
Interlude : Showtime,Jimin,36.0
Supernova,aespa,35.666666666666664
You & Me (Coachella ver.),JENNIE,35.0
Jealousyvalhalla,YANGHONGWON,35.0
Smart,LE SSERAFIM,31.333333333333332
Sticky,KISS OF LIFE,29.0
Love Me Again,V,28.5
Never Let Go,Jung Kook,28.5
Polaroid,Lim Young Woong,27.5
Bam Yang Gang,BIBI,27.333333333333332
All I Want for Christmas Is You,Mariah Carey,27.0
All Or Nothing,J Money & KingLee,25.0
Right Now,NewJeans,23.5
Espresso,Sabrina Carpenter,22.5
BIRDS OF A FEATHER,Billie Eilish,22.0
Fate,(G)I-DLE,22.0
we can't be friends (wait for your love),Ariana Grande,22.0
Do or Die,Lim Young Woong,21.428571428571427
Home,Lim Young Woong,21.333333333333332
plot twist,TWS,21.25
To. X,TAEYEON,20.666666666666668
Armageddon,aespa,20.4
Grain of Sand,Lim Young Woong,20.0
Cosmic,Red Velvet,20.0
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,20.0
踊り子,Vaundy,19.666666666666668
Cupido,Engel Montaz & Kuv507 & Latinnites Music,19.0
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,18.0
Yes or No,Jung Kook,17.0
MILLION DOLLAR BABY,Tommy Richman,17.0
Warmth,Lim Young Woong,17.0
"If I’m S, Can You Be My N?",TWS,17.0
Snowman,Sia,17.0
Slow Dancing,V,16.333333333333332
"yes, and?",Ariana Grande,16.333333333333332
Beautiful Things,Benson Boone,16.25
Small girl (feat. D.O.),Lee Young Ji,16.0
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,16.0
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,16.0
한 페이지가 될 수 있게,DAY6,16.0
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,15.75
Love 119,RIIZE,15.666666666666666
Armageddon,aespa & Grimes & Flava D,15.0
I Like Me Better,Lauv,15.0
Love wins all,IU,14.333333333333334
If We Ever Meet Again,Lim Young Woong,14.125
EASY,LE SSERAFIM,13.9
London Boy,Lim Young Woong,13.5
AK47,Men's Tear & 뷰티풀너드,13.5
Boom Boom Bass,RIIZE,13.25
Alone,Jimin,13.0
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,13.0
Holssi,IU,12.0
Super Shy,NewJeans,11.666666666666666
Fry’s Dream,AKMU,11.0
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,11.0
녹아내려요 Melt Down,DAY6,11.0
People Pt.2 (feat. IU),Agust D,11.0
Interlude : Dive,Jimin,10.952380952380953
Filter,BTS,10.666666666666666
Bubble Gum,NewJeans,10.571428571428571
SPOT!,ZICO & JENNIE,10.5
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",GroovyRoom & HUH YUNJIN,10.0
Rockstar,LISA,10.0
With you,Jimin & HA SUNG WOON,9.75
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,9.625
Who (Shibuyakei Remix),Jimin,9.625
Face-off,Jimin,9.5
Perfect Night,LE SSERAFIM,9.076923076923077
Come back to me,RM,9.0
Last Christmas - Single Version,Wham!,9.0
Memories,RIIZE,9.0
HAPPY,DAY6,9.0
FRI(END)S,V,9.0
Let's Say Goodbye,Parc Jae Jung,9.0
Melt Down,DAY6,8.75
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,8.0
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,8.0
"무제(無題) (Untitled, 2014)",G-DRAGON,8.0
Little Light,DOYOUNG,8.0
Sweet Night,V,8.0
Christmas Love,Jimin,7.785714285714286
Who (Acoustic Remix),Jimin,7.6
Sudden Shower,ECLIPSE,7.5
Who (Rock Remix),Jimin,7.4
ABCD,NAYEON,7.0
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,7.0
Please Please Please,Sabrina Carpenter,7.0
double take,Dhruv,7.0
예뻤어,DAY6,7.0
Broken Melodies,NCT DREAM,7.0
The Planet,BTS,7.0
Discord,QWER,7.0
"Steal The Show - From ""Elemental""",Lauv,7.0
Swan Song,LE SSERAFIM,7.0
Christmas Tree,V,7.0
For Us,V,7.0
Still With You,Jung Kook,7.0
Chk Chk Boom,Stray Kids,7.0
Cruel Summer,Taylor Swift,6.8125
Drama,aespa,6.625
Hate You,Jung Kook,6.5
Who (Funky Remix),Jimin,6.5
Not Like Us,Kendrick Lamar,6.2
Welcome to the Show,DAY6,6.166666666666667
T.B.H,QWER,6.125
Who (Instrumental),Jimin,6.111111111111111
wherever u r (ft. V of BTS),UMI & V,6.0
That's What I Like,Bruno Mars,6.0
Don't Look Back In Anger - Remastered,Oasis,6.0
Lucky Girl Syndrome,ILLIT,6.0
MEOW,MEOVV,6.0
I’ll See You There Tomorrow,TOMORROW X TOGETHER,6.0
Like Crazy (Instrumental),Jimin,6.0
CRAZY,LE SSERAFIM,6.0
Rainbow,Lim Young Woong,5.894736842105263
Too Sad to Dance,Jung Kook,5.777777777777778
You Were Beautiful,DAY6,5.615384615384615
Who (Beautiful Mind Remix),Jimin,5.416666666666667
Father,Lim Young Woong,5.4
OMG,NewJeans,5.4
FLOWER,JISOO,5.333333333333333
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,5.333333333333333
Like Crazy (Deep House Remix),Jimin,5.333333333333333
アイドル,YOASOBI,5.333333333333333
Get A Guitar,RIIZE,5.25
Promise,Jimin,5.111111111111111
No Tomorrow - Spotify Singles,Various Artists,5.0
"Our Blues, Our Life",Lim Young Woong,5.0
Like That,Future & Metro Boomin,5.0
Klaxon,(G)I-DLE,5.0
Don't Look Back in Anger - Remastered,Oasis,5.0
Spicy,aespa,5.0
Dangerously,Charlie Puth,5.0
CHIHIRO,Billie Eilish,5.0
K-POP,Travis Scott & Bad Bunny & The Weeknd,5.0
VIBE (feat. Jimin of BTS),TAEYANG,4.857142857142857
Bling-Bang-Bang-Born,Creepy Nuts,4.75
Sugarcoat (NATTY Solo),KISS OF LIFE,4.666666666666667
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,4.666666666666667
My Love Mine All Mine,Mitski,4.6
If I have you only (My love X Nerd Connection),Nerd Connection,4.555555555555555
Please Don't Change (feat. DJ Snake),Jung Kook,4.5
"How can I love the heartbreak, you're the one I love",AKMU,4.5
Teddy Bear,STAYC,4.5
Rainy Days,V,4.5
Spring Snow,10CM,4.333333333333333
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,4.333333333333333
Attention,NewJeans,4.3
A bientot,Lim Young Woong,4.291666666666667
Hype Boy,NewJeans,4.285714285714286
Blue,V,4.25
New Jeans,NewJeans,4.130434782608695
Dance The Night (From Barbie The Album),Dua Lipa,4.0
I will come to you,Jin,4.0
Pump Up The Volume!,PLAVE,4.0
Mars,D.O.,4.0
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,4.0
SOS,KANGDANIEL,4.0
Bite Me,ENHYPEN,4.0
CROOKED,G-DRAGON,4.0
WAY 4 LUV,PLAVE,4.0
bye,Ariana Grande,4.0
ETA,NewJeans,3.9444444444444446
I Love You,Lim Young Woong,3.9166666666666665
Ditto,NewJeans,3.8518518518518516
Shot Glass of Tears,Jung Kook,3.8
Like Crazy (UK Garage Remix),Jimin,3.75
Kill Bill,SZA,3.6666666666666665
Somebody,Jung Kook,3.6666666666666665
