song,artist,reentry_count
"Our Blues, Our Life",Lim Young Woong,31
Ditto,NewJeans,27
A bientot,Lim Young Woong,24
New Jeans,NewJeans,23
Hype Boy,NewJeans,21
Interlude : Dive,Jimin,21
Rainbow,Lim Young Woong,19
ETA,NewJeans,18
Cruel Summer,Taylor Swift,16
Somebody,Jung Kook,15
OMG,NewJeans,15
Christmas Love,Jimin,14
Love Always Run Away,Lim Young Woong,14
Perfect Night,LE SSERAFIM,13
Closer to You (feat. Major Lazer),Jung Kook,13
You Were Beautiful,DAY6,13
I Love You,Lim Young Woong,12
Who (Funky Remix),Jimin,12
Who (Beautiful Mind Remix),Jimin,12
My Love Mine All Mine,Mitski,10
EASY,LE SSERAFIM,10
Face-off,Jimin,10
Please Don't Change (feat. DJ Snake),Jung Kook,10
London Boy,Lim Young Woong,10
Attention,NewJeans,10
Too Sad to Dance,Jung Kook,9
Promise,Jimin,9
Love Letter,Lim Young Woong,9
If I have you only (My love X Nerd Connection),Nerd Connection,9
Who (Instrumental),Jimin,9
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,9
Like Crazy (Deep House Remix),Jimin,9
Drama,aespa,8
Who (Shibuyakei Remix),Jimin,8
Get A Guitar,RIIZE,8
If We Ever Meet Again,Lim Young Woong,8
T.B.H,QWER,8
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,8
Like Crazy (UK Garage Remix),Jimin,8
Bubble Gum,NewJeans,7
VIBE (feat. Jimin of BTS),TAEYANG,7
Do or Die,Lim Young Woong,7
Grain of Sand,Lim Young Woong,7
Super Shy,NewJeans,6
Slow Dancing,V,6
Talk Saxy,RIIZE,6
Welcome to the Show,DAY6,6
double take,Dhruv,6
Nest,Lim Young Woong,6
Alone,Jimin,6
You & Me,JENNIE,6
A Psalm of Life,Lim Young Woong,6
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,6
My You,Jung Kook,6
Hate You,Jung Kook,6
FRI(END)S,V,6
Who (Rock Remix),Jimin,5
Like Crazy,Jimin,5
Lovely Touch,Lim Young Woong,5
Armageddon,aespa,5
NEMONEMO,YENA,5
Father,Lim Young Woong,5
Please Please Please,Sabrina Carpenter,5
Not Like Us,Kendrick Lamar,5
Small girl (feat. D.O.),Lee Young Ji,5
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5
Standing Next to You,Jung Kook,5
Who (Acoustic Remix),Jimin,5
