song,artist,retention_days
Filter,BTS,148.0
Vancouver,BIG Naughty,102.0
SPOT!,ZICO & JENNIE,101.0
With you,Jimin & HA SUNG WOON,76.33333333333333
Touch,KATSEYE,71.0
Lovely Touch,Lim Young Woong,65.25
If We Ever Meet Again,Lim Young Woong,62.0
Like Crazy (English Version),Jimin,59.5
Set Me Free Pt.2,Jimin,59.5
Home,Lim Young Woong,56.0
3D (feat. Jack Harlow),Jung Kook,50.666666666666664
Seven (feat. Latto) (Explicit Ver.),Jung Kook,50.666666666666664
Polaroid,Lim Young Woong,50.666666666666664
Closer Than This,Jimin,50.666666666666664
Love Me Again,V,50.666666666666664
Sticky,KISS OF LIFE,50.5
Welcome to the Show,DAY6,48.0
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,47.5
Slow Dancing,V,46.4
Let's Say Goodbye,Parc Jae Jung,46.0
Like Crazy,Jimin,43.5
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,43.0
Do or Die,Lim Young Woong,41.5
Standing Next to You,Jung Kook,41.0
Attention,NewJeans,39.55555555555556
Grain of Sand,Lim Young Woong,39.166666666666664
BIRDS OF A FEATHER,Billie Eilish,39.0
HERO,Lim Young Woong,38.0
Super Shy,NewJeans,37.6
踊り子,Vaundy,37.5
Warmth,Lim Young Woong,37.333333333333336
Pump Up The Volume!,PLAVE,37.0
Smart,LE SSERAFIM,36.5
Supernova,aespa,36.0
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,35.0
How Sweet,NewJeans,33.0
Supernatural,NewJeans,33.0
Magnetic,ILLIT,33.0
Never Let Go,Jung Kook,33.0
Armageddon,aespa,33.0
Espresso,Sabrina Carpenter,33.0
Right Now,NewJeans,33.0
Haegeum,Agust D,32.25
plot twist,TWS,31.333333333333332
Drama,aespa,30.142857142857142
Father,Lim Young Woong,29.75
Cruel Summer,Taylor Swift,29.2
MILLION DOLLAR BABY,Tommy Richman,28.5
London Boy,Lim Young Woong,27.666666666666668
VIBE (feat. Jimin of BTS),TAEYANG,27.333333333333332
we can't be friends (wait for your love),Ariana Grande,27.0
A Psalm of Life,Lim Young Woong,26.6
Fate,(G)I-DLE,26.0
Yes or No,Jung Kook,26.0
I Love You,Lim Young Woong,25.727272727272727
Bam Yang Gang,BIBI,25.5
To. X,TAEYEON,25.5
Dance The Night (From Barbie The Album),Dua Lipa,25.5
Alone,Jimin,25.2
"How can I love the heartbreak, you're the one I love",AKMU,25.0
People Pt.2 (feat. IU),Agust D,25.0
If I have you only (My love X Nerd Connection),Nerd Connection,24.5
Boom Boom Bass,RIIZE,24.333333333333332
Super,SEVENTEEN,24.0
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,23.75
FRI(END)S,V,23.6
Better Things,aespa,23.0
OMG,NewJeans,22.5
Rainbow,Lim Young Woong,22.22222222222222
Baddie,IVE,22.0
Who (Rock Remix),Jimin,21.0
Who (Acoustic Remix),Jimin,21.0
Love Always Run Away,Lim Young Woong,20.923076923076923
ETA,NewJeans,20.41176470588235
Interlude : Dive,Jimin,20.0
Get A Guitar,RIIZE,19.857142857142858
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,19.75
Shot Glass of Tears,Jung Kook,19.75
Love 119,RIIZE,19.5
Sudden Shower,ECLIPSE,19.333333333333332
Klaxon,(G)I-DLE,19.0
You Were Beautiful,DAY6,18.833333333333332
EASY,LE SSERAFIM,18.555555555555557
Love wins all,IU,18.5
CROOKED,G-DRAGON,18.0
Hype Boy,NewJeans,17.8
Hate You,Jung Kook,17.8
A bientot,Lim Young Woong,17.565217391304348
Beautiful Things,Benson Boone,17.0
Lucky Girl Syndrome,ILLIT,16.666666666666668
Kill Bill,SZA,16.5
アイドル,YOASOBI,16.5
Talk Saxy,RIIZE,16.2
New Jeans,NewJeans,16.0
Small girl (feat. D.O.),Lee Young Ji,15.75
Bubble Gum,NewJeans,15.666666666666666
Not Like Us,Kendrick Lamar,15.5
Closer to You (feat. Major Lazer),Jung Kook,15.416666666666666
FLOWER,JISOO,15.0
Cupid - Twin Ver.,FIFTY FIFTY,15.0
LOVE DIVE,IVE,14.5
My Starry Love,Lim Young Woong,14.5
Perfect Night,LE SSERAFIM,14.166666666666666
Christmas Love,Jimin,14.0
Who (Shibuyakei Remix),Jimin,14.0
"yes, and?",Ariana Grande,14.0
Face-off,Jimin,14.0
Ditto,NewJeans,13.923076923076923
T.B.H,QWER,13.857142857142858
Too Sad to Dance,Jung Kook,13.375
Bling-Bang-Bang-Born,Creepy Nuts,13.333333333333334
"Our Blues, Our Life",Lim Young Woong,13.333333333333334
My You,Jung Kook,13.0
Who (Instrumental),Jimin,12.25
The Planet,BTS,12.0
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,11.666666666666666
Melt Down,DAY6,11.666666666666666
Love Letter,Lim Young Woong,11.25
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",GroovyRoom & HUH YUNJIN,11.0
Holssi,IU,11.0
AK47,Men's Tear & 뷰티풀너드,11.0
My Love Mine All Mine,Mitski,10.777777777777779
Please Please Please,Sabrina Carpenter,10.75
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,10.6
You & Me,JENNIE,10.4
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,10.0
Sugarcoat (NATTY Solo),KISS OF LIFE,10.0
Elevator,Lim Young Woong,10.0
Midas Touch,KISS OF LIFE,10.0
Who (Beautiful Mind Remix),Jimin,9.727272727272727
